t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
27750,0.9592,0.0408,0.0,94.73285458812362,0.011457072592104234,8.965765765765766e-06,3.845969219459344
28000,0.9596,0.0404,0.0,94.73791640381671,0.011409797382485294,8.885714285714286e-06,3.8460987228570165
28250,0.96,0.04,0.0,94.73449241691054,0.011440447949143269,8.807079646017699e-06,3.8462272707963243
28500,0.9604,0.0396,0.0,94.73349981645416,0.011448720053207642,8.729824561403508e-06,3.8463514414033697
28750,0.9608,0.0392,0.0,94.73191359909308,0.011463598515072752,8.653913043478261e-06,3.846472306086838
29000,0.96,0.04,0.0,94.73269653234176,0.011456334490110765,8.579310344827585e-06,3.846590656551625
29250,0.96,0.04,0.0,94.73417494801322,0.011444518787139667,8.505982905982905e-06,3.846707815384532
29500,0.96,0.04,0.0,94.73598810335022,0.011428082330376779,8.433898305084746e-06,3.846825960677874
29750,0.9596,0.0404,0.0,94.73556316057656,0.011433138375774227,8.363025210084033e-06,3.846940872604927
30000,0.9588,0.0412,0.0,94.73671747951632,0.011426081749988168,8.293333333333334e-06,3.8470542959998646
30250,0.9588,0.0412,0.0,94.73235292748475,0.011465614320152839,8.224793388429752e-06,3.847164458842818
30500,0.9576,0.0424,0.0,94.73720856593278,0.011424143196774721,8.157377049180328e-06,3.847270192786743
30750,0.9564,0.0436,0.0,94.73603933285858,0.011437005224830796,8.091056910569106e-06,3.8473748110567922
31000,0.9576,0.0424,0.0,94.73659842078887,0.011428237019904955,8.025806451612904e-06,3.847476007741819
31250,0.9576,0.0424,0.0,94.73810726482523,0.01141682715665848,7.9616e-06,3.8475780326399116
31500,0.9572,0.0428,0.0,94.73701058989401,0.011424416592100965,7.898412698412699e-06,3.8476803580951575
31750,0.9568,0.0432,0.0,94.73936902433366,0.011405440159532865,7.836220472440945e-06,3.8477801146456154
32000,0.9552,0.0448,0.0,94.74110994027613,0.011392103019572688,7.775e-06,3.847877842499921
32250,0.9564,0.0436,0.0,94.73814863005072,0.011417691941825204,7.714728682170543e-06,3.8479723782944704
32500,0.9568,0.0432,0.0,94.73735502927839,0.011424273011921667,7.655384615384616e-06,3.848065942153756
32750,0.9572,0.0428,0.0,94.73859956437023,0.011411602143300285,7.596946564885496e-06,3.8481594357251074
33000,0.956,0.044,0.0,94.73836195770738,0.01141607053093834,7.539393939393939e-06,3.8482503490908275
33250,0.9572,0.0428,0.0,94.73821631515335,0.011414039160832553,7.482706766917293e-06,3.84833987609015
33500,0.9564,0.0436,0.0,94.73920704345772,0.011406593500199385,7.4268656716417914e-06,3.848429585671582
33750,0.9568,0.0432,0.0,94.73867661122628,0.01141167842659154,7.371851851851852e-06,3.8485172266666217
34000,0.9572,0.0428,0.0,94.73289202832656,0.011465343524235828,7.31764705882353e-06,3.8486014329411358
34250,0.9568,0.0432,0.0,94.73549169703112,0.011441512635386142,7.264233576642336e-06,3.848683980145939
34500,0.9568,0.0432,0.0,94.73532258352765,0.011443125292464175,7.211594202898551e-06,3.8487653495651672
34750,0.956,0.044,0.0,94.73496757826288,0.01144891671772226,7.159712230215827e-06,3.848845612661813
35000,0.9556,0.0444,0.0,94.73804103393229,0.011421176724199691,7.108571428571429e-06,3.84892460114279
35250,0.9568,0.0432,0.0,94.73722581994181,0.011425197049787278,7.0581560283687945e-06,3.849003694751711
35500,0.9548,0.0452,0.0,94.74130095065745,0.011393576980509895,7.008450704225352e-06,3.8490816743661385
