allow_forced_l_in_cd,kappa,pi0,r,update_rule,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,cum_sigma_mean,net_sum_res_mean,,,,# GRID = {'r': [1.2,1.4,1.6,1.8, 2.0], 'allow_forced_l_in_cd': [True, False], 'pi0': [5, 10], 'kappa': [0.1, 1], 'update_rule': ['best_rational', 'best_imitation']},,,,
FALSE,0.1,10,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.4,best_imitation,0.910464,0.08953600000000002,0,43.98988966824136,0.03171065852662922,0,109974.72417060338,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.4,best_rational,0.22612000000000002,0.77388,0,3.640211934275105,0.6415432071693649,0,9100.529835687763,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.6,best_rational,0,0,1,10.6605168,0.07007620020668055,124995153.4,-124968502.1,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0,110074.79258120732,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.6,best_rational,0,0,1,10.6605168,0.07007620020668055,124995153.4,-124968502.1,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0.4,110074.39258120733,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.6,best_imitation,0.5136,0.486384,1.6e-05,36.47621682207362,0.05444567045774117,1998.7,89191.84205518404,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.6,best_rational,0.22612000000000002,0.77388,0,12.62788689460956,0.4752466280296436,0,31569.717236523895,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.4,best_imitation,0.9123199999999998,0.08768000000000001,0,44.02991703248293,0.03117004294171291,0,110074.79258120732,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.6,best_imitation,0.5136,0.4864,0,36.39724149575787,0.05628985225945212,0,90993.10373939466,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.8,best_rational,0,0,1,10.8602384,0.07847544838551633,124995153.4,-124968002.8,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.8,best_rational,0,0,1,10.8602384,0.07847544838551633,124995153.4,-124968002.8,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.5832987813201,0.05963553488787235,996.9,97961.34695330024,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,1.2,best_imitation,0.996344,0.0036560000000000004,0,45.893923536842074,0.0022607266532814877,0,114734.80884210521,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.8,best_rational,0.22612000000000002,0.77388,0,16.975406608389175,0.38056414967356567,0,42438.51652097294,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,10,2,best_rational,0,0,1,11.05996,0.08657128016670962,124995153.4,-124967503.5,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,1.8,best_imitation,0.5127120000000001,0.487288,0,39.561391737363486,0.06014514166883342,0,98903.47934340872,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,2,best_rational,0,0,1,11.05996,0.08657128016670962,124995153.4,-124967503.5,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,10,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
TRUE,0.1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0.96,114745.08084210522,,,,,,,,,,,,,,,,,,,,
TRUE,1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0.1,106748.44250744488,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,2,best_rational,0.22612000000000002,0.77388,0,19.890089529716075,0.3290026842578668,0,49725.22382429018,,,,,,,,,,,,,,,,,,,,
FALSE,0.1,5,1.2,best_imitation,0.9965040000000001,0.0034959999999999995,0,45.89841633684208,0.0021673348160605815,0,114746.04084210523,,,,,,,,,,,,,,,,,,,,
FALSE,1,10,2,best_imitation,0.5184399999999999,0.48156,0,42.699417002977945,0.06385488974519166,0,106748.54250744489,,,,,,,,,,,,,,,,,,,,
