# GRID = {'r': [1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.14, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.38, 1.4, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.64, 1.66, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.88, 1.9, 1.92, 1.94, 1.96, 1.98, 2.0], 'allow_forced_l_in_cd': [True], 'eta': [0.0], 'sigma': [0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000
allow_forced_l_in_cd,eta,r,sigma,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean
True,0.0,1.02,0.3,0.927016,0.072984,0.0,93.41134479999997,0.020773643336654244,233528.36199999988,17.472,464001997.6219723,464001980.1499723,1.39776e-07,3.7120159809757785,3.7120158411997783
True,0.0,1.02,0.29,0.927016,0.072984,0.0,93.41134479999997,0.020773643336654244,233528.36199999988,16.796799999999998,464001997.6847723,464001980.88797224,1.343744e-07,3.712015981478179,3.712015847103778
True,0.0,1.02,0.34,0.927,0.073,0.0,93.41077743999995,0.02077712756989739,233526.94359999988,20.100800000000003,463994118.33276975,463994098.23196983,1.6080639999999999e-07,3.711952946662158,3.711952785855758
True,0.0,1.02,0.27,0.927016,0.072984,0.0,93.41134479999997,0.020773643336654244,233528.36199999988,15.163200000000002,464001998.3727724,464001983.2095723,1.213056e-07,3.7120159869821783,3.7120158656765785
True,0.0,1.02,0.35,0.927,0.073,0.0,93.41077743999995,0.02077712756989739,233526.94359999988,20.86,463994118.0871698,463994097.22716975,1.6688000000000002e-07,3.7119529446973583,3.7119527778173578
True,0.0,1.02,0.26,0.927032,0.07296799999999999,0.0,93.41191215999996,0.02076963643428063,233529.78039999987,14.5392,464009876.4527684,464009861.91356844,1.1631360000000002e-07,3.712079011622147,3.7120788953085473
True,0.0,1.02,0.33,0.927,0.073,0.0,93.41077743999995,0.020776346285847156,233526.94359999988,19.4568,463994118.17836976,463994098.72156966,1.5565440000000002e-07,3.711952945426958,3.7119527897725586
True,0.0,1.02,0.32,0.927032,0.07296799999999999,0.0,93.41191215999996,0.020769636101310995,233529.78039999987,18.918400000000002,464009870.90597045,464009851.9875704,1.513472e-07,3.7120789672477645,3.712078815900564
True,0.0,1.02,0.28,0.927016,0.072984,0.0,93.41134479999997,0.020773643336654244,233528.36199999988,16.1504,464001998.0267723,464001981.87637216,1.292032e-07,3.712015984214178,3.7120158550109785
True,0.0,1.04,0.25,0.9265760000000001,0.07342399999999999,0.0,93.43374079999995,0.020648811019684916,233584.35199999993,12.12,464332397.50710225,464332385.3871023,9.696e-08,3.7146591800568185,3.714659083096818
