# GRID = {'r': [1.0,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.62,1.64,1.66,1.68,1.7,1.72,1.74,1.76,1.78,1.8,1.82,1.84,1.86,1.88,1.9,1.92,1.94,1.96,1.98, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0.0]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.1,0.9260719999999999,0.07392800000000001,0,93.53535439999995,0.020110176629033808,233838.38599999994,0,465737889.2759926,465737889.2759926,0,3.72590311420794,3.72590311420794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.1,0.9260799999999999,0.07392,0,93.53562799999996,0.020109287147067504,233839.06999999992,18.54,465741699.3979922,465741680.8579922,1.4832e-07,3.725933595183937,3.7259334468639373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.12,0.9259919999999999,0.074008,0,93.57078527999997,0.01990230204652822,233926.96319999985,0,466249139.5599821,466249139.5599821,0,3.7299931164798568,3.7299931164798568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.12,0.926048,0.073952,0,93.57262847999996,0.0198911473063869,233931.57119999986,22.1,466274726.1216128,466274704.02161276,1.768e-07,3.730197808972903,3.730197632172903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.14,0.9255520000000002,0.074448,0,93.59816367999994,0.01975174691795317,233995.4091999999,0,466604604.62470263,466604604.62470263,0,3.732836836997621,3.732836836997621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.14,0.9255440000000001,0.07445600000000001,0,93.59791599999996,0.019757930866746713,233994.7899999999,22.14,466601170.51270676,466601148.3727068,1.7712e-07,3.7328093641016538,3.732809186981654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.16,0.925504,0.074496,0,93.63649695999995,0.01953259810515697,234091.2423999999,0,467139124.2944206,467139124.2944206,0,3.7371129943553645,3.7371129943553645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.16,0.925384,0.074616,0,93.63259167999996,0.019564152282313174,234081.4791999999,23.32,467084935.20877326,467084911.88877326,1.8656000000000002e-07,3.736679481670186,3.7366792951101866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,0,1.18,0.925072,0.074928,0,93.66284223999996,0.019374431209090798,234157.10559999986,0,467506156.1935976,467506156.1935976,0,3.740049249548782,3.740049249548782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,0,1.18,0.924936,0.075064,0,93.65849055999996,0.01940978861854883,234146.2263999999,24.76,467445765.6335893,467445740.87358934,1.9808e-07,3.739566125068714,3.739565926988715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
