# GRID = {'r': [1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0,0.2,0.4,0.6,0.8, 1]},,,,
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,
TRUE,0,1.4,0.39664,0.60336,0,76.16260737593657,0.046872222068360926,190406.51843984146,1948.88,231658231.82399997,231656282.94399998,1.5591039999999996e-05,1.8532658545919996,1.8532502635519996,,,,,,
FALSE,0.4,1.5,0.624744,0.37525600000000003,0,85.15399253624065,0.04775226881205453,212884.98134060163,0,349706055.7,349706055.7,0,2.7976484459199997,2.7976484459199997,,,,,,
FALSE,1,1.5,0.9870159999999999,0.012984,0,95.65046506527186,0.0034987365865005206,239126.16266317968,0,492093695.2,492093695.2,0,3.936749561,3.936749561,,,,,,
FALSE,0.2,1.5,0.379272,0.6207280000000001,0,75.46679117754965,0.055265086083037616,188666.97794387414,0,227763443.3,227763443.3,0,1.8221075467199999,1.8221075467199999,,,,,,
FALSE,0.6,1.5,0.7073279999999998,0.29267199999999993,0,87.90428483211389,0.04555983405325697,219760.71208028466,0,384433360.6,384433360.6,0,3.075466885,3.075466885,,,,,,
FALSE,0.8,1.5,0.8091439999999999,0.190856,0,90.75592650117188,0.03606437793960384,226889.81625292974,0,422499711,422499711,0,3.3799976878400004,3.3799976878400004,,,,,,
FALSE,0,1.5,0.331064,0.668936,0,70.91288456789262,0.08632599522530476,177282.21141973152,0,199673869.2,199673869.2,0,1.5973909534400006,1.5973909534400006,,,,,,
TRUE,0.2,1.5,0.37434399999999995,0.625656,0,75.41437007474998,0.05520750900509947,188535.92518687499,5050.52,227785573.4,227780522.9,4.040416e-05,1.822284588,1.822244183,,,,,,
TRUE,1,1.5,0.986904,0.013095999999999998,0,95.64796725205964,0.0035233498488848576,239119.9181301491,216.66,491842712.9,491842496.2,1.7332799999999999e-06,3.9347417028000002,3.93473997,,,,,,
TRUE,0.4,1.5,0.6220319999999999,0.377968,0,84.90155443248223,0.04783965042842571,212253.88608120556,800.98,349801954.8,349801153.8,6.407839999999999e-06,2.7984156382400003,2.7984092303999994,,,,,,
TRUE,0.8,1.5,0.8223280000000002,0.17766400000000002,8e-06,91.17989026871543,0.03475397544945933,227949.72567178853,3251.26,427609804.4,427606553.2,2.6010080000000002e-05,3.4208784353600006,3.4208524252799997,,,,,,
TRUE,0,1.5,0.33268000000000003,0.6645359999999999,0.002784,71.04156110911737,0.08356940736705724,177603.90277279343,507675.36,199757028.5,199249353.1,0.004061403,1.5980562275999999,1.593994825,,,,,,
TRUE,0.6,1.5,0.703952,0.296008,4e-05,87.77938056855692,0.04623129858661684,219448.45142139227,4263.2,386494781.6,386490518.4,3.41056e-05,3.0919582523999996,3.0919241467999994,,,,,,
FALSE,0.4,1.6,0.414416,0.585584,0,77.6250334290518,0.057358182704103616,194062.58357262955,0,255028630.71199948,255028630.71199948,0,2.040229045695996,2.040229045695996,,,,,,
FALSE,0.6,1.6,0.6028239999999999,0.39717600000000003,0,84.80992442056102,0.05182172151910808,212024.8110514026,0,348463914.89599556,348463914.89599556,0,2.7877113191679643,2.7877113191679643,,,,,,
FALSE,0.2,1.6,0.320792,0.679208,0,66.95463026638667,0.13232727022213975,167386.5756659667,0,195084338.7440002,195084338.7440002,0,1.5606747099520013,1.5606747099520013,,,,,,
FALSE,1,1.6,0.8651440000000001,0.13485599999999998,0,87.41229311848409,0.0772921856287474,218530.7327962102,0,451622113.31202817,451622113.31202817,0,3.6129769064962254,3.6129769064962254,,,,,,
FALSE,0,1.6,0.27180800000000005,0.7281919999999998,0,45.27222290736315,0.3657948856515763,113180.55726840785,0,172264360.2639999,172264360.2639999,0,1.378114882111999,1.378114882111999,,,,,,
FALSE,0.8,1.6,0.6576879999999999,0.342312,0,86.27417219419249,0.05134732550995498,215685.43048548122,0,365988477.136001,365988477.136001,0,2.927907817088007,2.927907817088007,,,,,,
TRUE,0,1.6,0.320888,0.595632,0.08347999999999998,69.99653719891803,0.10145698247556795,174991.34299729503,11409589.34,189698604.92800015,178289015.58800012,0.09127671472000001,1.5175888394240011,1.4263121247040007,,,,,,
TRUE,0.2,1.6,0.32911200000000007,0.6504479999999999,0.020439999999999996,69.66742498785362,0.10373206877585192,174168.56246963408,2903687.58,198925909.68800026,196022222.10800025,0.023229501,1.5914072775040022,1.568177776864002,,,,,,
TRUE,0.4,1.6,0.4128879999999999,0.5871120000000001,0,77.3498985634117,0.05780430244761162,193374.7464085293,3429.66,255147030.07200035,255143600.41200036,2.7437279999999994e-05,2.0411762405760028,2.0411488032960023,,,,,,
TRUE,0.6,1.6,0.632688,0.36723999999999996,7.2e-05,85.84542418724399,0.050794201958719476,214613.56046811,12672.52,358708016.42400414,358695343.90400416,0.00010138015999999999,2.8696641313920335,2.8695627512320327,,,,,,
TRUE,1,1.6,0.8636080000000003,0.13612799999999997,0.00026399999999999997,92.30238688683353,0.030628901737416697,230755.96721708385,31799.22,451087779.98404044,451055980.76404047,0.000254394,3.608702239872323,3.6084478461123233,,,,,,
