t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
19750,0.364,0.636,0.0,69.64158276415701,0.08065384002714156,0.0,1.511820070886077
20000,0.3468,0.6532,0.0,70.38160804792219,0.07994116048622603,0.0,1.5120453760000026
20250,0.316,0.684,0.0,69.89633195437499,0.07893963236597659,0.0,1.5121061925925952
20500,0.3436,0.6564,0.0,69.73137792492972,0.08277711835932668,0.0,1.511604152195125
20750,0.374,0.626,0.0,70.24398156819075,0.08537201112210364,0.0,1.5115966920481931
21000,0.3116,0.6884,0.0,69.64351042900516,0.08166632774626906,0.0,1.5115388038095248
21250,0.304,0.696,0.0,65.44399550688432,0.11365928625680156,0.0,1.510861568
21500,0.3552,0.6448,0.0,70.82192443202513,0.07281463755069058,0.0,1.5104050604651174
21750,0.34,0.66,0.0,70.53301112886878,0.07496591224067391,0.0,1.5105682096551767
22000,0.3048,0.6952,0.0,69.22831822157409,0.07835862175428647,0.0,1.51071787636364
22250,0.3572,0.6428,0.0,68.3042602186369,0.09940217878597352,0.0,1.510198709213487
22500,0.3544,0.6456,0.0,71.03281975334362,0.08317700260087203,0.0,1.5104339768888924
22750,0.3808,0.6192,0.0,72.16899014016902,0.07123405603089997,0.0,1.510870829010992
23000,0.3496,0.6504,0.0,69.57550943068703,0.07754109971319248,0.0,1.5109853217391362
23250,0.3476,0.6524,0.0,71.57690882136158,0.06646429807447149,0.0,1.5112590726881758
23500,0.3444,0.6556,0.0,72.39400653854614,0.0670745704422551,0.0,1.5111177123404302
23750,0.3088,0.6912,0.0,70.02911650068869,0.07973687366435385,0.0,1.511085029052636
24000,0.3576,0.6424,0.0,69.77306452190452,0.08503511504551993,0.0,1.5106179600000051
24250,0.3068,0.6932,0.0,71.44983172370574,0.07197725770786051,0.0,1.5109892090721686
24500,0.3308,0.6692,0.0,70.52981565277402,0.07833796688348006,0.0,1.5109649763265345
24750,0.3408,0.6592,0.0,71.89298166087966,0.07033177361764366,0.0,1.5115264387878817
25000,0.322,0.678,0.0,69.52149825397134,0.0890520886634867,0.0,1.5114668544000027
25250,0.3452,0.6548,0.0,71.79288924391848,0.06882943413512364,0.0,1.5116329821782206
25500,0.3088,0.6912,0.0,69.88196587475194,0.07897213985365639,0.0,1.5118906603921605
25750,0.3676,0.6324,0.0,70.41076927979327,0.07900517333948903,0.0,1.5120945957281597
26000,0.322,0.678,0.0,68.78585994132658,0.08421406585257568,0.0,1.5121131692307725
26250,0.3404,0.6596,0.0,70.18169301321284,0.0765269922528909,0.0,1.5118160822857167
26500,0.36,0.64,0.0,70.82104511492173,0.0819509577738765,0.0,1.5117261886792481
26750,0.342,0.658,0.0,71.06832519511343,0.07370128195851501,0.0,1.5120521928971988
27000,0.348,0.652,0.0,68.31646712056515,0.10059638380141701,0.0,1.5118586903703721
27250,0.284,0.716,0.0,70.06734762616979,0.07772144610423926,0.0,1.5118826040366975
27500,0.3008,0.6992,0.0,69.53071828231108,0.07477018587755019,0.0,1.5117030050909093
27750,0.332,0.668,0.0,70.73685395556926,0.07899161877340123,0.0,1.5119018781981983
28000,0.3628,0.6372,0.0,70.25670691494607,0.08146703997828997,0.0,1.5115671542857143
28250,0.3244,0.6756,0.0,70.81140430150882,0.07428315894508274,0.0,1.5117907936283184
28500,0.3396,0.6604,0.0,71.16671935635158,0.07079937663128752,0.0,1.5117878119298245
28750,0.3104,0.6896,0.0,70.624586067829,0.07659721873453568,0.0,1.5117582914782617
29000,0.344,0.656,0.0,71.1205674107606,0.07548363119683452,0.0,1.5119258813793117
29250,0.302,0.698,0.0,69.33696332232574,0.0880388430758147,0.0,1.5121513135042748
29500,0.3112,0.6888,0.0,70.71522054692674,0.07757926710702018,0.0,1.512102128813558
29750,0.3624,0.6376,0.0,71.29215438909256,0.07973403006642955,0.0,1.5120252665546217
30000,0.3244,0.6756,0.0,71.06342065041098,0.06860576364119773,0.0,1.5118748800000017
30250,0.3556,0.6444,0.0,72.6258585745947,0.06829938057261577,0.0,1.5119785467768605
30500,0.3676,0.6324,0.0,68.85090133486919,0.08834462028890891,0.0,1.5118757560655744
30750,0.3296,0.6704,0.0,70.6115466050531,0.07117882174026628,0.0,1.511941463414634
31000,0.3352,0.6648,0.0,68.7692036751835,0.08952086792051328,0.0,1.5117006967741924
31250,0.282,0.718,0.0,68.1060746166127,0.0900496827651792,0.0,1.5116451430399993
31500,0.2912,0.7088,0.0,66.56444339698129,0.10373992113316251,0.0,1.5112394463492054
31750,0.3556,0.6444,0.0,71.65484794308638,0.07074915196471446,0.0,1.5113110979527553
32000,0.3628,0.6372,0.0,71.82411398770395,0.07893899339703056,0.0,1.5115942499999988
32250,0.3464,0.6536,0.0,72.21510944803381,0.06980795014922844,0.0,1.511588733023255
32500,0.3368,0.6632,0.0,70.03442967603813,0.0833835402145922,0.0,1.5115347593846142
32750,0.3472,0.6528,0.0,70.2372455042784,0.08163320051148894,0.0,1.5113721160305325
33000,0.3872,0.6128,0.0,69.5238502305001,0.08859903232450012,0.0,1.5113037575757557
33250,0.3604,0.6396,0.0,71.11368907432666,0.08029986829317705,0.0,1.5114115272180433
33500,0.3008,0.6992,0.0,70.57644349730482,0.07874690492339492,0.0,1.511325096119401
33750,0.272,0.728,0.0,70.62518351599068,0.07784985974905635,0.0,1.5114950731851828
34000,0.3624,0.6376,0.0,68.39609747454499,0.10361978617554146,0.0,1.5112096847058787
34250,0.3748,0.6252,0.0,70.99585184284372,0.07969576450643215,0.0,1.5112805745985363
34500,0.3444,0.6556,0.0,70.67314651369564,0.07682125259963356,0.0,1.5114085750724604
34750,0.3,0.7,0.0,70.08023238440956,0.07767046299767659,0.0,1.5112905392805713
35000,0.2864,0.7136,0.0,68.2162343264679,0.09123673991321027,0.0,1.511348150857139
35250,0.336,0.664,0.0,70.88378673689863,0.07137968692028664,0.0,1.5112591977304928
35500,0.3688,0.6312,0.0,71.99265051960286,0.07385228288806203,0.0,1.5112428078873208
35750,0.3204,0.6796,0.0,70.43036876987125,0.07449030326882655,0.0,1.5113991697902063
36000,0.3684,0.6316,0.0,70.23041498106625,0.07987128608459329,0.0,1.511485822222219
36250,0.3364,0.6636,0.0,70.27806278756714,0.08456670208965955,0.0,1.511609935448274
36500,0.3264,0.6736,0.0,71.68356560411533,0.07168458804716743,0.0,1.5116251090410948
36750,0.3132,0.6868,0.0,69.91609790093062,0.08417642832648292,0.0,1.511793963537417
37000,0.3648,0.6352,0.0,71.38153526636414,0.07385227509526311,0.0,1.511956825945948
37250,0.3072,0.6928,0.0,71.0175932654533,0.07246294861725235,0.0,1.5119019726174512
37500,0.2992,0.7008,0.0,68.30050240055441,0.09397503491698467,0.0,1.5118433024000022
37750,0.3316,0.6684,0.0,71.19427919894537,0.07845659553739925,0.0,1.5120024413245057
38000,0.3292,0.6708,0.0,70.05069432216605,0.08211788853300445,0.0,1.5121101052631614
38250,0.3636,0.6364,0.0,69.33948439040573,0.08840298090281212,0.0,1.5122353024836659
38500,0.3428,0.6572,0.0,70.26467701433339,0.08271222419041997,0.0,1.5118586348052
38750,0.352,0.648,0.0,71.62140822126683,0.07187762287000281,0.0,1.5120760650322624
39000,0.2916,0.7084,0.0,70.16498719896485,0.07729116080722985,0.0,1.5121453128205165
39250,0.2952,0.7048,0.0,68.27642011234916,0.09548803268654904,0.0,1.5121472652229337
39500,0.3276,0.6724,0.0,68.79009158273165,0.08660544152743792,0.0,1.511932216708863
39750,0.3096,0.6904,0.0,70.82006539949575,0.07673424093519417,0.0,1.5121008140880534
40000,0.2952,0.7048,0.0,69.17090752938748,0.08288475715912448,0.0,1.5118098080000046
40250,0.3472,0.6528,0.0,70.42489383242271,0.07569197046103707,0.0,1.5121232854658464
40500,0.2888,0.7112,0.0,70.49346701527804,0.0714898061525805,0.0,1.511943751111119
40750,0.3632,0.6368,0.0,71.15736516496952,0.07269392545656683,0.0,1.5120599636809908
41000,0.39,0.61,0.0,72.56106359067073,0.06869270088949402,0.0,1.5120477736585445
41250,0.3976,0.6024,0.0,69.12693488234106,0.08830721395774715,0.0,1.5119599243636417
41500,0.3488,0.6512,0.0,70.41072756816992,0.07776568464259746,0.0,1.5120294400000085
41750,0.2996,0.7004,0.0,70.5293958227309,0.0730132912727491,0.0,1.5120886725748597
42000,0.3232,0.6768,0.0,68.14961840985168,0.10054220648338617,0.0,1.5118828342857251
42250,0.3016,0.6984,0.0,70.04365037078954,0.07927428902253829,0.0,1.5118808009467535
